30949|02|01|12345678|01|NO|||03/04/2023|F00||1212797|03/04/2023|123456789012345|0|0|1250|00|150|0|0|0|0|0|0|0|02|01|9215|||9215|NO|NO|NO||||||||||
30950|07||0603610221|01||||03/04/2023|F00||2587441|03/04/2023|124889200|0|0|75|00|9|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
31488|07|01|AO670266|04|NO|||04/04/2023|0NC||87452159966|04/04/2023|123456789|0|0|1250|00|150|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||01|F00||1457899223|123456789
31589|07|01|1791745469001|01|NO|||04/04/2023|F00||124785556|04/04/2023|12345678|0|0|270.6|00|32.47|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
31590|07|01|1791745469001|04|NO|||04/04/2023|F00||14527788|04/04/2023|12345678|0|0|270.6|00|32.47|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||01|F00||124785556|12345678
31591|07|01|1791745469001|01|NO|||04/04/2023|F00||145788223|04/04/2023|12345678|0|0|125|00|15|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
31595|07|01|1791745469001|04|NO|||04/04/2023|001||1478522669|04/04/2023|12345677|0|0|125|00|15|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||01|F00||145788223|12345678
31700|07|01|0109624|01|NO|||04/04/2023|F00||1239874521|04/04/2023|12345678|0|0|1000|00|120|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
31929|07|01|0102521903|01|NO|||05/04/2023|F00||1258746|05/04/2023|12345678|0|0|75|00|9|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
32357|07|01|9.92E+11|01|NO|||11/04/2023|F00||784522|11/04/2023|12345678|0|0|2000|00|240|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
32363|07|01|1791745469001|01|NO|||11/04/2023|F00||14223651|11/04/2023|12345678|0|0|6500|00|780|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
32367|||0109624|01||||11/04/2023|F00||15874236|11/04/2023|12345678|0|0|700|00|84|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
30960|07|01|12345678|01|NO|||03/04/2023|F00||12587493|03/04/2023|145200378|0|0|350|00|42|0|0|0|0|0|0|0|02|01|9215|||9215|NO|NO|NO||||||||||
32467|||0109624|01||||11/04/2023|F00||15874236|11/04/2023|12345678|0|0|700|00|84|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
32567|||0109624|01||||11/04/2023|F00||15874236|11/04/2023|12345678|0|0|700|00|84|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
32768|07|01|9.92E+11|01|NO|||11/04/2023|F00||784522|11/04/2023|12345678|0|0|2000|00|240|0|0|0|0|0|0|0|01|||||NA|NA|NA|NO||||||||||
